Type of Customer (Wait to see where they go) ,Total Time on Property,Time spent in Queue,Time Spent At the Pump (0 if not at the pump at all),Time Spent in Store (0 if Not in the store),Time Entered,At Pump,Finish Pump,Leave,,Possible Customer Types,,
Pump Only,0:02:12,0:00:02,0:02:07,0:00:00,0:47:03,0:47:05,0:49:12,0:49:15,,,,
Pump Only,0:02:48,0:00:33,0:02:03,0:00:00,0:47:23,0:47:56,0:49:59,0:50:11,,,,
Store and Pump,0:05:02,0:01:30,0:01:56,0:01:36,0:47:50,0:49:20,0:51:16,0:52:52,,,,
Pump Only,0:02:45,0:00:12,0:02:33,0:00:00,0:49:55,0:50:07,0:52:40,0:52:40,,,,
Store and Pump,0:03:23,0:00:28,0:02:00,0:00:55,0:49:57,0:50:25,0:52:25,0:53:20,,,,
Pump Only,0:02:10,0:00:08,0:02:02,0:00:00,0:50:10,0:50:18,0:52:20,0:52:20,,,,
Store and Pump,0:08:18,0:00:32,0:02:05,0:05:41,0:50:15,0:50:47,0:52:52,0:58:33,,,,
Store and Pump,0:04:12,0:01:02,0:01:54,0:01:16,0:50:22,0:51:24,0:53:18,0:54:34,,,,
Pump Only,0:02:47,0:00:13,0:02:34,0:00:00,0:50:58,0:51:11,0:53:45,0:53:45,,,,
Store and Pump,0:03:03,0:00:06,0:01:23,0:01:34,0:51:08,0:51:14,0:52:37,0:54:11,,,,
Pump Only,0:03:48,0:01:46,0:02:02,0:00:00,0:51:12,0:52:58,0:55:00,0:55:00,,,,
Pump Only,0:03:06,0:01:25,0:01:41,0:00:00,0:51:12,0:52:37,0:54:18,0:54:18,,,,
Store and Pump,0:05:53,0:01:39,0:01:50,0:02:24,0:51:41,0:53:20,0:55:10,0:57:34,,,,
Store and Pump,0:04:44,0:00:57,0:01:36,0:02:11,0:51:48,0:52:45,0:54:21,0:56:32,,,,
Store and Pump,0:06:48,0:02:59,0:02:17,0:01:32,0:51:55,0:54:54,0:57:11,0:58:43,,,,
Pump Only,0:04:21,0:01:41,0:02:40,0:00:00,0:51:59,0:53:40,0:56:20,0:56:20,,,,
Pump Only,0:05:06,0:03:04,0:02:02,0:00:00,0:52:08,0:55:12,0:57:14,0:57:14,,,,
Pump Only,0:04:38,0:02:41,0:01:57,0:00:00,0:52:20,0:55:01,0:56:58,0:56:58,,,,
Store and Pump,0:05:00,0:01:37,0:01:39,0:01:44,0:53:00,0:54:37,0:56:16,0:58:00,,,,
Pump Only,0:04:24,0:01:56,0:02:28,0:00:00,0:53:05,0:55:01,0:57:29,0:57:29,,,,
Pump Only,0:03:26,0:02:23,0:01:03,0:00:00,0:53:14,0:55:37,0:56:40,0:56:40,,,,
Store and Pump,0:07:37,0:03:32,0:01:20,0:02:45,0:53:48,0:57:20,0:58:40,1:01:25,,,,
Pump Only,0:02:59,0:00:35,0:02:24,0:00:00,0:54:35,0:55:10,0:57:34,0:57:34,,,,
Pump Only,0:04:19,0:01:54,0:02:25,0:00:00,0:55:11,0:57:05,0:59:30,0:59:30,,,,
Pump Only,0:05:37,0:02:50,0:02:47,0:00:00,0:55:25,0:58:15,1:01:02,1:01:02,,,,
Pump Only,0:03:55,0:01:00,0:02:55,0:00:00,0:56:50,0:57:50,1:00:45,1:00:45,,,,
Store and Pump,0:04:25,0:01:36,0:01:53,0:00:56,0:57:15,0:58:51,1:00:44,1:01:40,,,,
Pump Only,0:02:00,0:00:05,0:01:55,0:00:00,0:57:15,0:57:20,0:59:15,0:59:15,,,,
Pump Only,0:02:23,0:00:05,0:02:18,0:00:00,0:57:27,0:57:32,0:59:50,0:59:50,,,,
Pump Only,0:03:46,0:00:18,0:03:28,0:00:00,0:57:43,0:58:01,1:01:29,1:01:29,,,,
Pump Only,0:02:38,0:00:36,0:02:02,0:00:00,0:58:50,0:59:26,1:01:28,1:01:28,,,,
Pump Only,0:02:26,0:00:05,0:02:21,0:00:00,0:59:15,0:59:20,1:01:41,1:01:41,,,,
Store and Pump,0:02:32,0:00:06,0:01:28,0:00:58,0:59:26,0:59:32,1:01:00,1:01:58,,,,
Store and Pump,0:04:12,0:00:13,0:02:04,0:01:55,0:59:35,0:59:48,1:01:52,1:03:47,,,,
,,,,,,,,,,,,
